condominio;quartos;suites;vagas;area;bairro;atualizacao;preco;distancia;pm2
1400;3;1.0;1.0;100;3;23;1950000;99.0;19500.0
1350;3;1.0;1.0;94;3;7;1650000;99.0;17553.19
1769;3;1.0;1.0;117;3;28;2150000;99.0;18376.07
1000;3;0.0;1.0;85;3;4;1149000;99.0;13517.65
1480;3;1.0;1.0;109;3;0;2200000;99.0;20183.49
1250;3;1.0;2.0;113;3;2;1990000;99.0;17610.62
550;1;1.0;1.0;65;4;2;178000;99.0;2738.46
350;1;1.0;1.0;55;4;0;350000;99.0;6363.64
330;1;1.0;1.0;52;4;0;345000;99.0;6634.62
560;1;1.0;1.0;59;4;15;280000;99.0;4745.76
590;1;1.0;1.0;60;4;1;340000;99.0;5666.67
570;1;1.0;1.0;52;4;2;370000;99.0;7115.38
230;1;1.0;1.0;35;4;0;285000;99.0;8142.86
370;1;1.0;1.0;61;4;0;380000;99.0;6229.51
380;1;1.0;1.0;55;4;0;325000;99.0;5909.09
580;1;0.0;1.0;55;4;1;300000;99.0;5454.55
620;1;1.0;1.0;60;4;2;320000;99.0;5333.33
345;1;1.0;1.0;49;4;0;294000;99.0;6000.0
400;1;1.0;1.0;35;4;3;219000;99.0;6257.14
485;1;1.0;1.0;50;4;0;400000;99.0;8000.0
470;1;1.0;1.0;53;4;0;300000;99.0;5660.38
600;1;1.0;1.0;52;4;0;370000;99.0;7115.38
500;1;1.0;1.0;53;4;0;454500;99.0;8575.47
550;1;1.0;1.0;60;4;0;430000;99.0;7166.67
468;1;1.0;1.0;50;4;0;435000;99.0;8700.0
450;2;1.0;1.0;71;4;2;370000;99.0;5211.27
1140;2;1.0;1.0;77;4;0;470000;99.0;6103.9
389;2;1.0;1.0;45;4;0;350000;99.0;7777.78
661;2;1.0;1.0;75;4;0;450000;99.0;6000.0
250;2;1.0;1.0;102;4;0;480000;99.0;4705.88
600;2;1.0;1.0;75;4;16;370000;99.0;4933.33
650;2;1.0;1.0;78;4;2;590000;99.0;7564.1
500;2;1.0;1.0;75;4;2;465000;99.0;6200.0
600;2;1.0;1.0;70;4;0;395000;99.0;5642.86
